,cust_id,cust_gender,affinity_card,bookkeeping_application,bulk_pack_diskettes,education,flat_panel_monitor,home_theater_package,household_size,occupation,os_doc_set_kanji,printer_supplies,yrs_residence,y_box_games,age,cust_marital_status,cust_city,country_name,cust_income_level,cust_credit_limit,amount_sold
24,100025,F,0,1,1,Assoc-A,0,0,2,Prof.,0,1,3,1,50,single,Edgewood,United States of America,"K: 250,000 - 299,999",15000,1210
25,100026,M,0,1,1,Bach.,1,0,3,Sales,0,1,3,0,33,,Moerdijk,Italy,"K: 250,000 - 299,999",11000,1210
26,100027,M,0,0,1,9th,1,0,3,Crafts,0,1,3,0,64,married,Clifton,United Kingdom,"K: 250,000 - 299,999",7000,1210
27,100028,F,0,1,0,Bach.,0,0,2,Cleric.,0,1,4,0,61,,Koeln,Germany,"K: 250,000 - 299,999",15000,1205
28,100029,M,1,1,1,Assoc-A,1,1,3,TechSup,0,1,5,0,84,married,Waddinxveen,Italy,"B: 30,000 - 49,999",5000,1205
29,100030,F,0,1,1,HS-grad,1,0,2,Other,0,1,2,1,67,,Pune,China,"B: 30,000 - 49,999",1500,1205
30,100031,F,0,1,1,Bach.,0,1,6-8,Sales,0,1,4,0,40,single,Diss,United Kingdom,"B: 30,000 - 49,999",3000,1205
31,100032,M,0,1,1,HS-grad,1,1,2,Cleric.,0,1,4,0,91,married,Petaling Jaya,Singapore,"B: 30,000 - 49,999",7000,1205
32,100033,M,0,1,1,HS-grad,1,1,9+,Machine,0,1,5,0,81,,Hoofddorp,Italy,"B: 30,000 - 49,999",1500,1205
33,100034,M,1,1,1,PhD,1,1,3,Prof.,0,1,4,0,50,single,Stockport,United Kingdom,"B: 30,000 - 49,999",3000,1205
34,100035,F,1,1,1,Bach.,0,0,4-5,Prof.,0,1,4,0,52,married,Velp,Italy,"B: 30,000 - 49,999",5000,1205
35,100036,M,0,1,1,Bach.,1,1,3,Exec.,0,1,6,0,92,,Hyderabad,China,"B: 30,000 - 49,999",1500,1205
36,100037,M,1,1,1,Profsc,1,1,2,Prof.,0,1,6,0,78,single,Delhi,China,"B: 30,000 - 49,999",3000,1205
37,100038,F,0,1,0,HS-grad,0,0,6-8,Cleric.,0,1,2,1,60,married,Arnemuiden,Italy,"B: 30,000 - 49,999",5000,1205
38,100039,M,1,1,1,Assoc-A,1,0,3,Prof.,0,1,3,0,75,,Hilversum,Italy,"B: 30,000 - 49,999",1500,1205
39,100040,F,0,0,1,11th,1,0,1,Sales,0,1,0,1,54,single,Veldhoven,Italy,"B: 30,000 - 49,999",3000,1205
40,100041,F,0,1,1,HS-grad,1,0,1,Handler,0,1,2,1,72,married,Dun Laoghaire,Canada,"B: 30,000 - 49,999",5000,1205
41,100042,M,1,1,1,Bach.,1,1,3,Prof.,0,1,1,0,51,,Wellington,New Zealand,"B: 30,000 - 49,999",1500,1205
42,100043,M,0,1,0,HS-grad,0,0,1,Other,0,1,2,1,58,single,Wekerom,Italy,"B: 30,000 - 49,999",3000,1210
43,100044,M,0,1,0,HS-grad,0,0,2,Sales,0,1,2,1,94,,Londrina,Brazil,"B: 30,000 - 49,999",1500,1210
44,100045,M,0,1,1,Assoc-A,1,0,3,Sales,0,1,5,0,88,single,Blumenau,Brazil,"B: 30,000 - 49,999",3000,1210
45,100046,M,1,1,0,< Bach.,0,1,3,Exec.,0,1,5,0,74,married,Delft,Italy,"B: 30,000 - 49,999",5000,1210
46,100047,M,0,1,0,HS-grad,0,0,1,Cleric.,0,1,2,1,61,,Kuala Lumpur,Singapore,"B: 30,000 - 49,999",1500,1210
47,100048,M,0,1,1,HS-grad,1,0,1,Sales,0,1,2,1,98,single,Wroclaw,Poland,"B: 30,000 - 49,999",5000,1210
48,100049,F,0,1,1,HS-grad,1,1,2,Machine,0,1,6,0,48,married,Hyderabad,China,"B: 30,000 - 49,999",5000,1222
49,100050,M,0,0,0,12th,0,0,9+,Machine,0,1,2,1,86,,Shah Alam,Singapore,"B: 30,000 - 49,999",1500,1222
50,100051,F,0,1,1,HS-grad,1,1,2,Handler,0,1,6,0,80,single,Krakow,Poland,"B: 30,000 - 49,999",3000,1222
51,100052,M,1,1,1,Masters,0,1,3,Exec.,0,1,6,0,89,married,Arnhem,Italy,"B: 30,000 - 49,999",5000,1222
52,100053,M,0,1,0,HS-grad,0,1,3,TechSup,0,1,5,0,47,,Tijnje,Italy,"B: 30,000 - 49,999",1500,1222
53,100054,F,0,1,1,HS-grad,1,1,2,Exec.,0,1,4,0,76,single,Den Haag The Hague,Italy,"B: 30,000 - 49,999",3000,1222
54,100055,F,0,1,1,< Bach.,1,0,4-5,Exec.,0,1,1,1,49,married,Altrincham,United Kingdom,"B: 30,000 - 49,999",5000,1222
55,100056,M,0,1,0,Bach.,0,1,3,TechSup,0,1,4,0,79,married,Edam,Italy,"B: 30,000 - 49,999",5000,1222
56,100057,M,1,1,1,Bach.,1,1,3,Prof.,0,1,4,0,82,,Alphen aan den Rijn,Italy,"B: 30,000 - 49,999",1500,1222
57,100058,M,0,1,1,< Bach.,1,1,3,Farming,0,1,6,0,62,single,Katowice,Poland,"B: 30,000 - 49,999",3000,1222
58,100059,M,1,1,0,HS-grad,0,1,2,Sales,0,1,6,0,56,married,Pune,China,"B: 30,000 - 49,999",5000,1222
59,100060,F,0,1,0,HS-grad,0,0,9+,Other,0,1,6,0,66,single,Geleen,Italy,"B: 30,000 - 49,999",3000,1222
60,100061,M,0,1,0,Assoc-V,0,1,9+,TechSup,0,1,4,0,71,married,Clifden,Canada,"B: 30,000 - 49,999",5000,1222
61,100062,F,0,1,1,Bach.,1,1,2,TechSup,0,1,5,0,65,,Redbridge,United Kingdom,"B: 30,000 - 49,999",1500,925
62,100063,M,1,1,0,HS-grad,0,1,3,TechSup,0,1,5,0,55,,Ruinen,Italy,"B: 30,000 - 49,999",1500,925
63,100064,M,0,1,0,HS-grad,0,1,3,Machine,0,1,5,0,64,single,Zaandam,Italy,"B: 30,000 - 49,999",3000,925
64,100065,M,0,1,1,HS-grad,1,1,2,Transp.,0,1,5,0,53,married,Shah Alam,Singapore,"B: 30,000 - 49,999",5000,925
65,100066,M,1,1,1,Bach.,1,1,3,Prof.,0,1,6,0,59,,Niteroi,Brazil,"B: 30,000 - 49,999",1500,925
66,100067,M,0,1,1,Bach.,0,1,2,TechSup,0,1,4,0,42,single,Wageningen,Italy,"B: 30,000 - 49,999",3000,925
67,100068,M,1,1,0,HS-grad,0,1,3,Exec.,0,1,6,0,73,married,Bristol,United Kingdom,"B: 30,000 - 49,999",5000,925
68,100069,F,0,1,0,Profsc,0,1,9+,Prof.,0,1,5,0,70,,Schimmert,Italy,"B: 30,000 - 49,999",1500,925
69,100070,M,1,1,0,< Bach.,0,1,3,Crafts,0,1,5,0,85,single,Almere,Italy,"B: 30,000 - 49,999",3000,925
70,100071,M,1,1,0,< Bach.,0,0,3,Sales,0,1,4,1,83,married,Sydney,Australia,"B: 30,000 - 49,999",5000,925
71,100072,M,0,0,1,5th-6th,1,0,6-8,Crafts,0,1,3,0,83,,Enkhuizen,Italy,"B: 30,000 - 49,999",1500,925
72,100073,M,1,1,1,PhD,1,1,3,Prof.,0,1,4,0,87,single,Amersfoort,Italy,"B: 30,000 - 49,999",3000,925
73,100074,M,0,1,0,HS-grad,0,1,2,Farming,0,1,5,0,43,married,Yokohama,Japan,"B: 30,000 - 49,999",5000,925
74,100075,M,0,1,1,Bach.,1,1,3,Crafts,0,1,4,0,68,,Blumenau,Brazil,"B: 30,000 - 49,999",1500,925
75,100076,M,0,1,1,< Bach.,1,0,1,Other,0,1,2,1,96,married,Enschede,Italy,"B: 30,000 - 49,999",7000,925
76,100077,F,0,1,1,< Bach.,1,1,4-5,Cleric.,0,1,4,0,57,,Waddinxveen,Italy,"B: 30,000 - 49,999",1500,925
77,100078,M,0,1,1,HS-grad,1,0,3,Transp.,0,1,3,1,95,single,Brisbane,Australia,"B: 30,000 - 49,999",5000,925
78,100079,F,0,1,1,HS-grad,1,0,6-8,Crafts,0,1,3,1,46,married,Limerick,Canada,"B: 30,000 - 49,999",5000,925
79,100080,M,0,0,0,9th,0,0,3,Crafts,0,1,3,1,45,,Ede,Italy,"B: 30,000 - 49,999",1500,925
80,100081,M,1,1,0,Bach.,0,1,3,Exec.,0,1,7,0,90,single,Hoofddorp,Italy,"B: 30,000 - 49,999",3000,925
81,100082,M,0,1,1,Bach.,1,0,2,Cleric.,0,1,3,1,69,married,Schimmert,Italy,"B: 30,000 - 49,999",5000,925
82,100083,F,0,1,0,Bach.,0,0,9+,Other,0,1,3,1,99,,Scheveningen,Italy,"B: 30,000 - 49,999",1500,925
83,100084,F,0,1,1,HS-grad,1,1,9+,Handler,0,1,3,0,79,single,Joinville,Brazil,"B: 30,000 - 49,999",3000,925
84,100085,M,1,1,1,HS-grad,1,1,3,Machine,0,1,6,0,77,married,Nagoya,Japan,"B: 30,000 - 49,999",5000,1222
85,100086,F,0,0,1,12th,1,0,6-8,Other,0,1,1,1,97,,Santos,Brazil,"B: 30,000 - 49,999",1500,1222
86,100087,M,0,1,0,Bach.,0,0,2,Prof.,0,1,5,0,92,single,Yokohama,Japan,"B: 30,000 - 49,999",5000,1222
87,100088,M,0,0,1,7th-8th,1,1,9+,Crafts,0,1,4,0,93,married,Zoetermeer,Italy,"B: 30,000 - 49,999",7000,1222
88,100089,M,1,1,1,Bach.,1,1,3,Exec.,0,1,7,0,63,,Diemen,Italy,"B: 30,000 - 49,999",1500,1222
89,100090,F,0,1,1,Bach.,1,1,2,Exec.,0,1,4,0,44,single,Lelystad,Italy,"B: 30,000 - 49,999",3000,1222
90,100091,M,0,1,0,Bach.,0,1,3,Exec.,0,1,4,0,46,,Geleen,Italy,"G: 130,000 - 149,999",7000,1222
91,100092,M,0,1,1,Bach.,1,1,2,Handler,0,1,7,0,53,single,Clifden,Canada,"G: 130,000 - 149,999",9000,1222
92,100093,M,0,1,1,< Bach.,1,1,3,Sales,0,1,7,0,69,married,Redbridge,United Kingdom,"G: 130,000 - 149,999",1500,1222
93,100094,M,1,1,0,HS-grad,0,1,3,Machine,0,1,5,0,76,married,Manchester,United Kingdom,"G: 130,000 - 149,999",3000,914
94,100095,M,0,1,0,Assoc-V,0,1,3,TechSup,0,1,4,0,52,,Zaandam,Italy,"G: 130,000 - 149,999",7000,914
95,100096,F,0,1,1,Masters,1,1,2,Prof.,0,1,7,0,36,single,Shah Alam,Singapore,"G: 130,000 - 149,999",9000,914
96,100097,F,0,0,1,5th-6th,1,0,9+,Other,0,1,3,0,76,married,Niteroi,Brazil,"G: 130,000 - 149,999",3000,914
97,100098,M,0,0,1,11th,1,0,1,Crafts,0,1,3,1,71,,Wageningen,Italy,"G: 130,000 - 149,999",9000,914
98,100099,M,0,1,1,HS-grad,1,0,3,TechSup,0,1,3,0,45,single,Bristol,United Kingdom,"G: 130,000 - 149,999",9000,914
99,100100,F,1,1,1,Masters,1,1,4-5,Prof.,0,1,4,0,44,married,Ede,Italy,"G: 130,000 - 149,999",1500,1250
100,100101,M,1,1,1,Bach.,0,0,3,Prof.,0,1,3,0,47,married,Schimmert,Italy,"G: 130,000 - 149,999",1500,914
101,100102,M,0,1,0,HS-grad,0,1,9+,Crafts,0,1,4,0,77,,Almere,Italy,"G: 130,000 - 149,999",9000,914
102,100103,M,0,1,1,HS-grad,1,0,1,Protec.,0,1,3,1,73,single,Sydney,Australia,"G: 130,000 - 149,999",11000,914
103,100104,M,0,0,1,10th,1,0,1,Machine,0,1,2,1,55,married,Enkhuizen,Italy,"G: 130,000 - 149,999",1500,914
104,100105,M,0,1,1,Bach.,1,0,1,Cleric.,0,1,3,1,70,,Amersfoort,Italy,"G: 130,000 - 149,999",7000,925
105,100106,F,0,1,1,HS-grad,1,1,4-5,Exec.,0,1,4,0,49,single,Yokohama,Japan,"G: 130,000 - 149,999",9000,925
106,100107,M,0,0,1,9th,1,1,2,Cleric.,0,1,6,0,67,married,Blumenau,Brazil,"G: 130,000 - 149,999",1500,914
107,100108,M,0,1,1,Masters,1,1,3,Other,0,1,5,0,73,married,Londrina,Brazil,"G: 130,000 - 149,999",3000,914
108,100109,M,0,1,1,Assoc-V,1,1,3,Exec.,0,1,7,0,58,,Blumenau,Brazil,"G: 130,000 - 149,999",7000,914
109,100110,M,0,1,0,< Bach.,0,0,3,Farming,0,1,4,1,39,single,Delft,Italy,"G: 130,000 - 149,999",9000,914
110,100111,M,0,1,0,< Bach.,0,0,2,Sales,0,1,2,0,66,married,Buenos Aires,Argentina,"G: 130,000 - 149,999",1500,914
111,100112,M,0,1,1,HS-grad,1,1,3,Machine,0,1,6,0,60,,Wroclaw,Poland,"G: 130,000 - 149,999",7000,914
112,100113,F,0,0,0,12th,0,0,1,Cleric.,0,1,1,1,75,single,Hyderabad,China,"G: 130,000 - 149,999",11000,914
113,100114,M,0,0,0,10th,0,0,6-8,Crafts,0,1,2,1,41,married,Shah Alam,Singapore,"G: 130,000 - 149,999",1500,914
114,100115,M,0,1,0,Bach.,0,0,1,Prof.,0,1,2,1,40,,Krakow,Poland,"G: 130,000 - 149,999",7000,914
115,100116,F,0,1,1,Assoc-V,1,1,4-5,Prof.,0,1,4,0,75,single,Merton,United Kingdom,"G: 130,000 - 149,999",11000,914
116,100117,F,0,1,1,HS-grad,1,1,2,Other,0,1,4,0,64,married,Tijnje,Italy,"G: 130,000 - 149,999",1500,914
117,100118,M,1,1,1,HS-grad,1,1,3,Exec.,0,1,6,0,79,,Den Haag The Hague,Italy,"G: 130,000 - 149,999",9000,914
118,100119,F,0,1,0,Bach.,0,1,2,Exec.,0,1,4,0,61,single,Altrincham,United Kingdom,"G: 130,000 - 149,999",9000,914
119,100120,M,0,1,0,Assoc-V,0,1,3,Farming,0,1,5,0,74,single,Amstelveen,Italy,"G: 130,000 - 149,999",11000,914
120,100121,M,0,1,1,HS-grad,1,0,2,Crafts,0,1,4,1,72,married,Sao Jose dos Campos,Brazil,"G: 130,000 - 149,999",3000,914
121,100122,F,0,1,0,HS-grad,0,1,4-5,Cleric.,0,1,4,0,77,,Katowice,Poland,"G: 130,000 - 149,999",9000,914
122,100123,F,0,1,1,HS-grad,0,1,9+,Other,0,1,3,0,72,single,Pune,China,"G: 130,000 - 149,999",11000,914
123,100124,M,0,1,0,HS-grad,0,1,3,Handler,0,1,3,0,72,single,Waddinxveen,Italy,"G: 130,000 - 149,999",11000,914
124,100125,M,0,1,0,Bach.,0,0,1,TechSup,0,1,1,1,38,married,Pune,China,"G: 130,000 - 149,999",1500,914
125,100126,M,0,1,1,HS-grad,0,1,3,Crafts,0,1,4,0,63,,Diss,United Kingdom,"G: 130,000 - 149,999",7000,914
126,100127,F,0,1,1,< Bach.,1,0,1,Other,0,1,2,1,73,single,Secunderabad,China,"G: 130,000 - 149,999",11000,914
127,100128,F,1,1,0,Bach.,0,1,4-5,Exec.,0,1,3,0,69,married,Altrincham,United Kingdom,"G: 130,000 - 149,999",1500,914
128,100129,M,0,1,1,Assoc-A,1,0,1,Machine,0,1,1,1,50,,Stockport,United Kingdom,"G: 130,000 - 149,999",7000,914
129,100130,M,0,0,1,5th-6th,1,1,3,Machine,0,1,5,0,59,single,Velp,Italy,"G: 130,000 - 149,999",9000,914
130,100131,M,0,1,1,HS-grad,1,0,2,Other,0,1,3,1,48,married,Hyderabad,China,"G: 130,000 - 149,999",1500,914
131,100132,F,0,1,1,< Bach.,1,1,2,House-s,0,1,4,0,54,,Delhi,China,"G: 130,000 - 149,999",7000,914
132,100133,F,0,1,0,Bach.,0,0,1,Cleric.,0,1,2,1,37,single,Krakow,Poland,"G: 130,000 - 149,999",9000,914
133,100134,F,0,1,1,Assoc-A,1,1,2,Cleric.,0,1,2,0,68,married,Hilversum,Italy,"G: 130,000 - 149,999",1500,914
134,100135,F,1,0,0,11th,0,1,4-5,Other,0,1,5,0,74,,Downham Market,United Kingdom,"G: 130,000 - 149,999",9000,914
135,100136,M,0,1,1,Bach.,1,0,2,Protec.,0,1,4,1,65,,Veldhoven,Italy,"G: 130,000 - 149,999",7000,914
136,100137,F,0,0,0,11th,0,1,6-8,Other,0,1,2,0,70,single,Dun Laoghaire,Canada,"G: 130,000 - 149,999",9000,914
137,100138,M,0,1,1,Bach.,1,1,2,Prof.,0,1,4,0,73,married,Wellington,New Zealand,"G: 130,000 - 149,999",3000,914
138,100139,M,0,0,1,1st-4th,1,1,3,Other,0,1,6,0,68,,Wekerom,Italy,"G: 130,000 - 149,999",7000,914
139,100140,M,0,1,1,< Bach.,1,0,1,?,0,1,1,1,57,single,Enschede,Italy,"G: 130,000 - 149,999",9000,914
140,100141,M,0,1,0,< Bach.,0,0,3,Cleric.,0,1,3,1,51,married,Waddinxveen,Italy,"G: 130,000 - 149,999",1500,914
141,100142,F,0,1,1,HS-grad,1,1,2,Cleric.,0,1,6,0,62,,Brisbane,Australia,"G: 130,000 - 149,999",7000,914
142,100143,F,0,1,1,Bach.,1,0,2,Prof.,0,1,3,0,35,single,Limerick,Canada,"G: 130,000 - 149,999",9000,914
143,100144,M,1,1,1,< Bach.,1,1,2,Exec.,0,1,4,0,75,,Alsen,United States of America,"B: 30,000 - 49,999",1500,914
144,100145,M,0,1,1,HS-grad,1,0,1,Cleric.,0,1,3,1,54,single,New Hartford,United States of America,"B: 30,000 - 49,999",1500,914
145,100146,M,1,1,1,HS-grad,1,1,3,Cleric.,0,1,6,0,72,married,Ozan,United States of America,"B: 30,000 - 49,999",1500,914
146,100147,M,0,1,0,HS-grad,0,1,3,?,0,1,6,0,51,,"Belmont, MI",United States of America,"B: 30,000 - 49,999",1500,914
147,100148,F,0,0,1,7th-8th,1,1,2,Other,0,1,3,0,58,single,Wadsworth,United States of America,"B: 30,000 - 49,999",1500,914
148,100149,M,1,0,0,11th,0,1,3,Farming,0,1,6,0,84,married,Saint-Briac-sur-Mer,France,"B: 30,000 - 49,999",1500,914
149,100150,M,0,1,0,HS-grad,0,1,3,Sales,0,1,7,0,67,,Lavallette,United States of America,"B: 30,000 - 49,999",1500,914
150,100151,M,0,1,1,HS-grad,0,1,3,?,0,1,5,0,40,single,Bedford,United States of America,"B: 30,000 - 49,999",1500,914
151,100152,F,0,1,0,HS-grad,0,0,4-5,TechSup,0,1,3,0,49,married,Relecq-Kerhuon,France,"B: 30,000 - 49,999",1500,914
152,100153,M,0,1,1,< Bach.,1,0,1,?,0,1,3,1,91,married,Antibes,France,"B: 30,000 - 49,999",3000,914
153,100154,F,0,1,1,HS-grad,0,1,9+,Exec.,0,1,5,0,81,,Corwith,United States of America,"B: 30,000 - 49,999",1500,914
154,100155,M,0,1,1,Assoc-V,1,0,3,Cleric.,0,1,3,1,50,single,Bad Neustadt,Germany,"B: 30,000 - 49,999",1500,914
155,100156,M,1,1,0,HS-grad,0,1,3,Exec.,0,1,5,0,90,single,Wuerzburg,Germany,"B: 30,000 - 49,999",1500,914
156,100157,F,0,0,1,11th,1,0,1,Other,0,1,1,1,69,married,Strang,United States of America,"B: 30,000 - 49,999",1500,914
157,100158,M,0,1,0,HS-grad,0,0,2,Sales,0,1,2,1,99,,Holyrood,United States of America,"B: 30,000 - 49,999",1500,914
158,100159,M,0,1,0,HS-grad,0,0,6-8,?,0,1,3,1,79,single,Crownpoint,United States of America,"B: 30,000 - 49,999",1500,914
159,100160,F,0,1,0,Assoc-A,0,0,9+,Prof.,0,1,3,0,77,married,Vass,United States of America,"B: 30,000 - 49,999",1500,914
160,100161,M,0,1,0,Bach.,0,1,2,Transp.,0,1,10,0,97,,Hatfield,United States of America,"B: 30,000 - 49,999",1500,914
161,100162,M,0,1,1,HS-grad,1,1,2,Crafts,0,1,5,0,92,single,Atwood,United States of America,"B: 30,000 - 49,999",1500,914
162,100163,M,0,1,1,HS-grad,1,1,3,Other,0,1,6,0,93,married,Toxey,United States of America,"B: 30,000 - 49,999",3000,914
163,100164,M,1,1,1,Bach.,1,1,3,Sales,0,1,9,0,63,,Darmstadt,Germany,"B: 30,000 - 49,999",1500,914
164,100165,F,0,1,0,Bach.,0,1,2,Prof.,0,1,4,0,44,single,Syracuse,United States of America,"B: 30,000 - 49,999",1500,914
165,100166,F,1,1,1,< Bach.,1,1,4-5,Exec.,0,1,4,0,96,married,Aalborg,Denmark,"B: 30,000 - 49,999",3000,914
166,100167,F,0,1,0,HS-grad,0,0,2,Cleric.,0,1,1,1,57,,Weissport,United States of America,"B: 30,000 - 49,999",1500,914
167,100168,F,0,1,1,< Bach.,1,0,9+,Cleric.,0,1,3,1,41,single,Wiesbaden,Germany,"B: 30,000 - 49,999",1500,914
168,100169,F,0,1,0,< Bach.,0,0,4-5,Sales,0,1,3,1,55,,Aix-les-Bains,France,"B: 30,000 - 49,999",1500,914
169,100170,F,0,0,0,7th-8th,0,1,9+,?,0,1,3,0,64,single,Freiburg,Germany,"B: 30,000 - 49,999",1500,914
170,100171,F,1,1,0,HS-grad,0,1,4-5,Cleric.,0,1,4,0,53,married,Karlslunde,Denmark,"B: 30,000 - 49,999",1500,914
171,100172,M,0,1,1,HS-grad,1,0,1,Handler,0,1,1,1,86,,Albion,United States of America,"B: 30,000 - 49,999",1500,914
172,100173,M,1,1,1,Assoc-A,0,1,3,Prof.,0,1,4,0,80,single,Jena,Germany,"B: 30,000 - 49,999",1500,914
173,100174,M,1,1,0,Bach.,0,1,2,Exec.,0,1,6,0,89,married,Glennie,United States of America,"B: 30,000 - 49,999",1500,914
174,100175,M,0,1,1,HS-grad,1,0,3,Crafts,0,1,3,1,47,,Mougins,France,"B: 30,000 - 49,999",1500,914
175,100176,M,1,1,1,HS-grad,1,1,3,Protec.,0,1,4,0,76,single,Mainz,Germany,"B: 30,000 - 49,999",1500,914
176,100177,M,0,1,1,< Bach.,1,0,1,Handler,0,1,1,1,79,married,Hillcrest Heights,United States of America,"B: 30,000 - 49,999",1500,914
177,100178,M,0,1,1,HS-grad,0,1,3,Crafts,0,1,5,0,82,,Husum,Germany,"B: 30,000 - 49,999",1500,914
178,100179,M,1,1,0,Masters,0,1,3,Exec.,0,1,7,0,62,single,Grand Pressigny,France,"B: 30,000 - 49,999",1500,914
179,100180,M,0,1,1,< Bach.,1,0,1,Prof.,0,1,3,1,48,married,Gif-sur-Yvette,France,"B: 30,000 - 49,999",1500,914
180,100181,F,0,1,1,< Bach.,1,0,1,Other,0,1,1,1,56,married,Shoreview,United States of America,"B: 30,000 - 49,999",1500,914
181,100182,M,0,1,1,HS-grad,1,0,3,Machine,0,1,3,0,94,,Lloret de Mar,Spain,"B: 30,000 - 49,999",1500,914
182,100183,M,1,1,0,HS-grad,0,1,3,Crafts,0,1,6,0,88,single,Forestville,United States of America,"B: 30,000 - 49,999",1500,914
183,100184,F,0,1,0,HS-grad,0,1,2,Cleric.,0,1,4,0,74,married,Saarbruecken,Germany,"B: 30,000 - 49,999",1500,914
184,100185,M,1,1,1,Bach.,1,1,3,Sales,0,1,8,0,67,single,Fukuoka,Japan,"I: 170,000 - 189,999",3000,914
185,100186,M,0,1,1,HS-grad,1,0,1,?,0,1,1,1,67,single,Lelystad,Italy,"I: 170,000 - 189,999",5000,914
186,100187,F,0,1,1,< Bach.,1,0,1,TechSup,0,1,3,1,48,single,Enschede,Italy,"I: 170,000 - 189,999",10000,914
187,100188,F,0,1,1,< Bach.,1,0,1,Cleric.,0,1,1,1,54,single,Galway City,Canada,"I: 170,000 - 189,999",10000,914
188,100189,M,0,1,1,Masters,1,0,1,Prof.,0,1,1,1,70,single,Zaandam,Italy,"I: 170,000 - 189,999",3000,914
189,100190,M,0,1,0,Bach.,0,1,3,Prof.,0,1,5,0,41,single,Brisbane,Australia,"I: 170,000 - 189,999",5000,914
190,100191,M,0,1,1,HS-grad,1,0,3,Sales,0,1,3,1,65,single,Limerick,Canada,"I: 170,000 - 189,999",10000,914
191,100192,M,1,1,1,Masters,1,1,3,Prof.,0,1,4,0,66,single,Ede,Italy,"I: 170,000 - 189,999",3000,914
